Instance,C(R_d),C(R_c),U(R_d),U(R_c),PoA_U,PoA_C
MD_cust10,141.24843122341426,60.98339408222846,58.75156877658574,139.01660591777153,2.3661769176991543,2.3161785818768705
MD_cust20,204.3647337993682,96.23406027825958,195.6352662006318,303.76593972174044,1.552715651022839,2.1236216492211817
MD_cust30,204.1899409463513,152.81569265639362,395.81005905364873,447.1843073436064,1.1297952063492007,1.336184376073685
MD_cust40,247.7814026426244,190.3722424163577,552.2185973573755,609.6277575836423,1.1039609323209982,1.3015626621695655
MD_cust50,279.20774349885767,219.08300067889903,720.7922565011423,780.916999321101,1.0834148012519103,1.2744381929845894
MD_cust60,327.6748634411302,258.7040408261226,872.3251365588698,941.2959591738775,1.0790654994616828,1.266601257540324
MD_cust70,398.5695901706462,323.95202585142243,1001.4304098293537,1076.0479741485776,1.0745109830766362,1.2303352298017314
MD_cust80,389.03418473750384,342.8947099166787,1210.965815262496,1257.1052900833213,1.038101385059184,1.134558724548526
MD_cust90,418.94863802914847,317.44717057343684,1381.0513619708515,1462.5528294265632,1.0590140741321914,1.3197428638987687
MD_cust100,456.20935549989866,467.22183379878584,1543.7906445001013,1532.7781662012142,0.9928665986297299,0.97642987227427
MDTW_cust10,140.4631433865539,58.180762713695614,59.536856613446105,141.81923728630437,2.3820410641947665,2.414254073597581
MDTW_cust20,206.35136459300054,93.68179718580893,193.64863540699946,306.31820281419107,1.5818247423762593,2.202683667390819
MDTW_cust30,199.26390757801434,130.26011066853303,380.73609242198563,469.739889331467,1.23376769022159,1.529738509781188
MDTW_cust40,247.04743636568008,192.59542896735545,552.9525636343199,607.4045710326445,1.0984750066812874,1.282727413055863
MDTW_cust50,262.0717485687525,253.83614851409158,737.9282514312475,726.1638514859085,0.9840575287332861,1.0324445517428096
MDTW_cust60,297.2324862763722,277.0737699408709,902.7675137236278,922.9262300591291,1.0223299088957611,1.0727557730917774
MDTW_cust70,344.26165776138896,288.68789891505617,1035.738342238611,1111.3121010849438,1.0729660723798158,1.1925046358201694
MDTW_cust80,366.0401340570316,317.9359814869672,1213.9598659429685,1282.0640185130328,1.056100827120148,1.1513013794320612
MDTW_cust90,409.02902571914325,267.87995604847066,1390.9709742808568,1532.1200439515294,1.1014752085273727,1.5269116501017077
MDTW_cust100,481.75733981802176,362.4220986029955,1518.2426601819784,1637.5779013970046,1.078600901123884,1.3292714259837353
